id_mgs	in_n_donor	donorID_nsamples	gtdb_classification
msp_0029	17	02; 03; 08; 09; 11; 12; 13; 14; 16; 17; 18; 20; 23; 25; 27; 28; 34	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A
msp_0030	5	01; 02; 13; 16; 17	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae
msp_0031	10	06; 08; 11; 13; 14; 23; 25; 27; 28; 34	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris
msp_0032	19	01; 02; 03; 06; 08; 09; 11; 12; 14; 16; 17; 18; 20; 22; 23; 24; 25; 28; 34	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii
msp_0033	4	01; 03; 06; 24	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis_A
msp_0034	12	02; 08; 09; 11; 12; 13; 20; 24; 25; 27; 28; 34	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__UBA11524;s__UBA11524 sp000437595
msp_0035	14	01; 02; 06; 08; 09; 11; 13; 14; 17; 18; 20; 24; 25; 34	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei
msp_0036	9	06; 08; 11; 12; 20; 22; 23; 27; 28	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii
msp_0037	10	01; 08; 12; 14; 18; 20; 24; 25; 28; 34	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae
msp_0038	10	02; 03; 06; 08; 09; 12; 13; 24; 27; 28	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__UBA1829;g__UBA11452;s__UBA11452 sp003526375
msp_0039	12	02; 08; 09; 11; 12; 13; 14; 16; 17; 20; 25; 27	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__Wujia chipingensis
msp_0040	12	08; 09; 11; 12; 14; 17; 18; 20; 25; 27; 28; 34	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola massiliensis
msp_0041	19	01; 02; 03; 06; 08; 11; 12; 13; 14; 16; 18; 20; 22; 23; 24; 25; 27; 28; 34	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_B
msp_0042	12	08; 11; 12; 13; 14; 16; 17; 18; 20; 27; 28; 34	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus_A
msp_0043	6	11; 12; 20; 23; 25; 27	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprocola
msp_0044	17	01; 02; 03; 06; 08; 09; 11; 12; 16; 17; 18; 22; 23; 24; 27; 28; 34	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella hathewayi
msp_0045	16	02; 06; 08; 09; 11; 12; 13; 14; 16; 17; 18; 20; 22; 23; 24; 34	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B
msp_0046	21	01; 02; 03; 06; 08; 09; 11; 12; 13; 14; 16; 17; 18; 20; 22; 23; 24; 25; 27; 28; 34	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
msp_0047	9	03; 08; 09; 11; 12; 17; 25; 27; 28	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp003531585
msp_0048	17	01; 02; 03; 08; 09; 11; 12; 13; 14; 16; 17; 18; 20; 24; 25; 28; 34	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000437735
msp_0049	6	01; 02; 14; 17; 20; 34	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp005845215
msp_0050	19	01; 02; 08; 09; 11; 12; 13; 14; 16; 17; 18; 20; 22; 23; 24; 25; 27; 28; 34	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii
msp_0052	9	01; 03; 06; 11; 16; 18; 22; 23; 25	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A caecimuris
msp_0053	17	02; 06; 08; 09; 11; 12; 13; 14; 16; 17; 18; 20; 22; 23; 24; 28; 34	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum
msp_0054	10	11; 16; 17; 20; 22; 23; 25; 27; 28; 34	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides nordii
msp_0055	18	01; 02; 08; 09; 11; 12; 13; 14; 16; 17; 18; 20; 23; 24; 25; 27; 28; 34	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor intestinalis
msp_0056	19	01; 02; 03; 06; 08; 09; 11; 12; 14; 16; 17; 18; 20; 22; 23; 25; 27; 28; 34	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster aldenensis
msp_0057	19	01; 02; 03; 06; 08; 09; 11; 12; 13; 14; 16; 17; 18; 20; 24; 25; 27; 28; 34	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__RUG115;s__RUG115 sp900066395
msp_0058	16	01; 03; 06; 08; 09; 12; 16; 17; 18; 20; 22; 23; 24; 27; 28; 34	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus
msp_0059	20	01; 02; 03; 06; 08; 11; 12; 13; 14; 16; 17; 18; 20; 22; 23; 24; 25; 27; 28; 34	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis
