vOTU_ID	Donor01	Donor09	Donor02	Donor03	Donor13	Donor24	Donor27	Donor34	DonorNo_Ref_11	Donor17	Donor16	Donor06	Donor18	Donor20	Donor23	Donor25	Donor12	Donor22	Donor28	Donor08	Donor14	n_shared_donor
vOTU_0057	nD	nD	0.0438 +/-0.0435	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0058	nD	nD	0.5062 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0059	nD	nD	0.0733 +/-0.0777	nD	nD	nD	nD	nD	nD	nD	0.0164 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0060	nD	nD	0.026 +/-0.0193	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0061	nD	nD	0.1364 +/-0.1824	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0062	nD	nD	0.0554 +/-0.055	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0063	nD	nD	2.6855 +/-2.7331	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0064	0.0303 +/-0.0241	nD	0.0876 +/-0.1358	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0065	nD	nD	0.2037 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0066	nD	nD	0.0158 +/-0.0045	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0014 +/-4e-04	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0067	nD	nD	0.0333 +/-0.0322	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0068	nD	nD	0.016 +/-0.0112	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0069	nD	nD	0.1075 +/-0.0661	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0070	nD	nD	0.1367 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0071	nD	nD	0.0814 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0072	nD	nD	3.0966 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0073	nD	nD	0.1905 +/-0.244	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0074	nD	nD	0.0416 +/-0.0274	nD	nD	nD	nD	0.0089 +/-0.0041	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0075	nD	nD	0.2562 +/-0.5091	nD	0.0049 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0076	nD	nD	0.1333 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0077	nD	nD	0.0171 +/-0.0139	nD	nD	6e-04 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0039 +/-0.003	nD	3
vOTU_0078	nD	nD	1.8128 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0079	nD	nD	0.0145 +/-0.0113	nD	nD	nD	nD	nD	nD	nD	0.0065 +/-0.002	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0080	nD	nD	0.0587 +/-0.0139	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0081	nD	nD	0.0177 +/-0.0037	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0082	nD	0.0164 +/-0.0141	0.0313 +/-0.0157	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0083	nD	nD	2.6471 +/-3.7377	8e-04 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0084	nD	nD	0.0128 +/-0.0046	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0085	nD	nD	0.0237 +/-0.0166	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0086	nD	nD	0.0213 +/-0.0222	nD	0.0031 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0087	nD	nD	0.0834 +/-0.1096	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0088	nD	nD	0.0213 +/-0.0106	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0089	nD	nD	0.0775 +/-0.1053	nD	0.0042 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0090	nD	nD	0.0312 +/-0.0267	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0091	nD	nD	0.0183 +/-0.008	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0711 +/-0.014	nD	nD	nD	nD	nD	nD	0.0212 +/-0.0143	3
vOTU_0092	nD	nD	0.0173 +/-0.0061	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0093	nD	nD	0.223 +/-0.1255	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0094	nD	nD	0.0331 +/-0.0397	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0095	nD	nD	0.0182 +/-0.0118	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0096	nD	nD	0.0178 +/-0.0111	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0097	nD	nD	0.0237 +/-0.0234	nD	nD	nD	0.0056 +/-0	nD	0.1003 +/-0.0708	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0088 +/-0	4
vOTU_0098	nD	nD	0.0584 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0099	nD	nD	0.0868 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0100	nD	nD	0.022 +/-0.0221	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0101	nD	nD	0.0854 +/-0	nD	nD	nD	nD	nD	nD	0.0041 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0143 +/-0	nD	3
vOTU_0102	nD	nD	0.0683 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0103	nD	0.0033 +/-0	0.0581 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0104	nD	nD	0.0308 +/-0.0365	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0105	nD	nD	2.3029 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0106	nD	nD	0.0628 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0107	nD	nD	0.0496 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0108	nD	nD	0.0366 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0109	nD	nD	1.3703 +/-2.6734	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0110	nD	nD	0.0757 +/-0.0416	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0029 +/-0.0024	nD	2
vOTU_0111	nD	nD	0.0282 +/-0.0316	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0112	nD	nD	0.0545 +/-0.0755	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0113	nD	nD	0.0226 +/-0.0231	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0114	nD	nD	0.0248 +/-0.0159	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0115	nD	nD	0.0357 +/-0.0277	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0116	nD	nD	nD	0.0101 +/-0.0054	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.1375 +/-0.2173	nD	nD	nD	2
vOTU_0117	nD	nD	nD	0.0129 +/-0.0178	nD	nD	nD	nD	nD	0.006 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0118	nD	nD	nD	0.0985 +/-0.1289	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0119	nD	nD	nD	0.1109 +/-0.1529	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0120	nD	nD	nD	0.0105 +/-0.0023	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0121	nD	nD	nD	0.027 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0122	nD	nD	nD	0.0354 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0123	nD	nD	nD	0.0546 +/-0.0821	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0124	nD	nD	nD	0.032 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0125	nD	nD	nD	0.0051 +/-0.0082	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0126	nD	nD	nD	0.0381 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0127	nD	nD	nD	0.0101 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0128	nD	nD	nD	0.0024 +/-7e-04	nD	nD	nD	nD	nD	nD	nD	0.0349 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0129	nD	nD	nD	0.0059 +/-0.0082	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0130	nD	nD	nD	0.0497 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0131	nD	nD	nD	0.0039 +/-0.0046	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0132	nD	nD	nD	0.0028 +/-0.0017	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0133	nD	nD	nD	0.0024 +/-0.0022	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0134	nD	nD	nD	0.0042 +/-0.0063	nD	nD	0.0096 +/-0.0077	nD	nD	nD	0.0041 +/-0	0.0137 +/-0.0105	nD	0.0079 +/-0	0.0018 +/-0	0.0314 +/-0	nD	nD	nD	nD	nD	7
vOTU_0135	nD	nD	nD	0.0145 +/-0.0282	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0136	nD	nD	nD	0.0039 +/-0.0057	nD	nD	0.0096 +/-0.0069	nD	nD	nD	0.0043 +/-0	0.011 +/-0.0092	nD	0.005 +/-0	0.0016 +/-0	0.0266 +/-0	nD	nD	nD	nD	nD	7
vOTU_0137	nD	nD	nD	0.2602 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0138	nD	nD	nD	0.0236 +/-0.0268	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0414 +/-0.025	nD	nD	nD	2
vOTU_0139	nD	nD	nD	0.0061 +/-0.0067	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0140	nD	nD	nD	0.0045 +/-0.0057	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0141	0.2297 +/-0	nD	0.0471 +/-0.0694	0.0225 +/-0	0.0079 +/-0	0.003 +/-0	0.009 +/-0.0042	0.0119 +/-0	0.0112 +/-0.0092	0.0232 +/-0.0188	nD	0.0076 +/-0	nD	0.006 +/-0	0.001 +/-0	nD	nD	0.0611 +/-0.0769	0.0755 +/-0.0598	0.0076 +/-0.0094	0.0036 +/-0	16
vOTU_0142	nD	nD	0.1703 +/-0.2394	0.0333 +/-0	nD	nD	0.0726 +/-0.0914	nD	nD	nD	nD	0.0127 +/-0.0057	nD	0.0124 +/-0.004	nD	nD	nD	nD	nD	0.0052 +/-0.0053	nD	6
vOTU_0143	nD	nD	nD	0.0055 +/-0.0056	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0144	nD	nD	nD	0.0035 +/-0.0023	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0145	nD	nD	nD	0.0071 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0146	nD	nD	nD	0.0102 +/-0.0083	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0147	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.1748 +/-0.2489	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0148	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1.0767 +/-1.2406	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0149	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.2918 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0150	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	5.8406 +/-4.82	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0151	nD	nD	nD	0.3158 +/-0	nD	nD	0.106 +/-0.067	nD	nD	nD	nD	0.4513 +/-0.5558	nD	nD	nD	0.2614 +/-0.2928	nD	nD	nD	nD	nD	4
vOTU_0152	nD	nD	nD	nD	nD	nD	nD	nD	0.2596 +/-0.1289	nD	nD	0.3029 +/-0.5954	nD	nD	nD	nD	0.0119 +/-0	0.0654 +/-0.0995	nD	0.0071 +/-0	nD	5
