sample_type,read_count,mill_reads_per_sample,fractioni in %,donor,day,
non_viral,530903,9.5,5.6,29,NA,
proviral,15097,9.5,0.2,29,NA,
UHGV,413754,9.5,4.4,29,NA,
UHGG,2056736,9.5,21.6,29,NA,
unmapped,693564,9.5,7.3,29,NA,
viral,6460154,7.9,81.4,29,NA,
non_viral,361649,7.9,4.6,29,NA,
proviral,14508,7.9,0.2,29,NA,
UHGV,314670,7.9,4,29,NA,
UHGG,435865,7.9,5.5,29,NA,
unmapped,353366,7.9,4.5,29,NA,
viral,5268041,7.1,74.3,34,-14,
non_viral,836543,7.1,11.8,34,-14,
proviral,8085,7.1,0.1,34,-14,
UHGV,336540,7.1,4.7,34,-14,
UHGG,289279,7.1,4.1,34,-14,
unmapped,356054,7.1,5,34,-14,
viral,4704265,9.2,51.3,34,-1,
non_viral,2628321,9.2,28.6,34,-1,
proviral,21863,9.2,0.2,34,-1,
UHGV,298024,9.2,3.2,34,-1,
UHGG,830956,9.2,9.1,34,-1,
unmapped,692285,9.2,7.5,34,-1,
viral,1806889,8.3,21.7,34,4,
non_viral,2899364,8.3,34.8,34,4,
proviral,49315,8.3,0.6,34,4,
UHGV,319747,8.3,3.8,34,4,
UHGG,2244487,8.3,27,34,4,
unmapped,1003937,8.3,12.1,34,4,
viral,1334390,7.7,17.4,34,10,
non_viral,3233072,7.7,42.1,34,10,
proviral,57857,7.7,0.8,34,10,
UHGV,243894,7.7,3.2,34,10,
UHGG,1960280,7.7,25.6,34,10,
unmapped,841982,7.7,11,34,10,
viral,7741589,12.2,63.6,34,30,
non_viral,2364679,12.2,19.4,34,30,
proviral,21978,12.2,0.2,34,30,
UHGV,560152,12.2,4.6,34,30,
UHGG,808123,12.2,6.6,34,30,
unmapped,681755,12.2,5.6,34,30,
viral,4047734,11,36.9,34,180,
non_viral,3243904,11,29.6,34,180,
proviral,63226,11,0.6,34,180,
UHGV,410306,11,3.7,34,180,
UHGG,2301397,11,21,34,180,
unmapped,899571,11,8.2,34,180,
